id,created,tweetId,tweets,len,source,topic,tweet_like_count,tweet_retweet_count,tweet_reply_count,hashtags,preprocessing,text,sentiment,country
1.66E+18,2023-05-22 13:24:23+00:00,apohaebar,@QuickPay_SNB كم رسوم التحويل بالريال السعودي لليمن,51,Twitter for Android,QuickPay_SNB,0,0,0,[],@QuickPay_SNB How much are the transfer fees in Saudi Riyal for Yemen, How much are the transfer fees in Saudi Riyal for Yemen,3,India
1.66E+18,2023-05-21 21:04:39+00:00,DyyyybA,@QuickPay_SNB ياليت إقامتي مجدده وصرافتي الكويك، والله مااحول ومااتعامل إلا معكم لإن أنتو أفضل بنك قد شفته وتعاملت معه,118,Twitter for Android,QuickPay_SNB,1,0,0,[],"@QuickPay_SNB I wish my stay was renewed and I would exchange my kwik, and God forbid, I do nothing but deal with you because you are the best bank I have seen and dealt with", wish my stay was renewed and would exchange my kwik and God forbid do nothing but deal with you because you are the best bank have seen and dealt with,3,USA
1.66E+18,2023-05-20 04:12:39+00:00,maazmaaiz607,@SNBCares Hello Snb quickpay I have sent money to my friend in SAAB bank account but until today not delivered can you plz refund it to my account plz,150,Twitter for Android,QuickPay_SNB,0,0,0,[],@SNBCares Hello Snb quickpay I have sent money to my friend in Saab bank account but until today not delivered can you plz refund it to my account plz, Hello Snb quickpay have sent money to my friend in Saab bank account but until today not delivered can you plz refund it to my account plz,2,Canada
1.66E+18,2023-05-20 04:08:24+00:00,maazmaaiz607,@QuickPay_SNB Hello Snb quickpay I have sent money to my friend in SAAB bank account but until today not delivered can you plz refund it to my account plz,154,Twitter for Android,QuickPay_SNB,0,0,0,[],@QuickPay_SNB Hello Snb quickpay I have sent money to my friend in Saab bank account but until today not delivered can you plz refund it to my account plz, Hello Snb quickpay have sent money to my friend in Saab bank account but until today not delivered can you plz refund it to my account plz,2,Aus
1.66E+18,2023-05-19 16:37:18+00:00,MG000000000,"@QuickPay_SNB 
السلام عليكم.
جميع العملاء يتذمورون من عدم تنفيذ الحوالات عبر كويك باي . الحوالات ترفض الإرسال . كنت دائما أرسل بدون إشكال . الان جميع",163,Twitter for Android,QuickPay_SNB,0,0,0,[],"@QuickPay_SNB 
Assalamu Alaykum.
All customers complain about not executing transfers via QuickPay . Remittances refuse to be sent . I always send without problem . Now all remittances refuse.", Assalamu Alaykum All customers complain about not executing transfers via QuickPay Remittances refuse to be sent always send without problem Now all remittances refuse,2,Germany
1.66E+18,2023-05-19 03:29:18+00:00,yMimS3RMZvncwUz,RT @aoehoficial: @nsovJSmh1zVgw55 @SNBCares @SAMA_GOV @redfksa @SaudiHousingCC @RedfKsaCC @snbalahli @Capital_SNB @QuickPay_SNB @majedhogai…,140,Twitter for iPhone,QuickPay_SNB,0,3,3,[],RT @aoehoficial: @nsovJSmh1zVgw55 @SNBCares @SAMA_GOV @redfksa @SaudiHousingCC @RedfKsaCC @snbalahli @Capital_SNB @QuickPay_SNB @majedhogai...,RT ,2,Italy
1.66E+18,2023-05-17 17:35:40+00:00,MohanedGasimOs1,"السلام عليكم 
انا عندي حواله للسودان مع الظروف الحاليه في السودان ألغيت الحواله من تاريخ ١٠ في هذا الشهر ولاكن لحدي الان م جاني اي رد واتصلت اكثر من خمسه مرات فقط يقولون سوف يتم الرد غدا اذا م تم الرد اتصل مره اخري .. م ادري وين المشكلة. ارجو الرد وشكرا
@QuickPay_SNB",267,Twitter for Android,QuickPay_SNB,0,0,0,[],"Assalamu Alaykum.
I have a transfer to Sudan with the current circumstances in Sudan. The transfer was canceled from the date of 10 this month, but to date I have received no response and I have called more than five times only. They say that tomorrow will be answered. If the response is not answered, I call again . I do not know where the problem is. Please reply and thank you
@QuickPay_SNB",Assalamu Alaykum I have transfer to Sudan with the current circumstances in Sudan The transfer was canceled from the date of this month but to date have received no response and have called more than five times only They say that tomorrow will be answered If the response is not answered call again do not know where the problem is Please reply and thank you ,3,USA
1.66E+18,2023-05-17 17:07:39+00:00,ahmdslyly,@QuickPay_SNB السلام عليكم شحنت عن طريق الخطأ لرقم زين يمديني استرد المبلغ,74,Twitter for Android,QuickPay_SNB,0,0,0,[],@QuickPay_SNB Assalamu Alaykum I was accidentally shipped to a Zain number to give me a refund, Assalamu Alaykum was accidentally shipped to Zain number to give me refund,2,Iraq
1.66E+18,2023-05-17 13:47:19+00:00,NJRAN99999,@QuickPay_SNB,13,Twitter for iPhone,QuickPay_SNB,0,0,0,[],@QuickPay_SNB,,2,Iran
1.66E+18,2023-05-16 22:00:33+00:00,abo20304,RT @aoehoficial: @nsovJSmh1zVgw55 @SNBCares @SAMA_GOV @redfksa @SaudiHousingCC @RedfKsaCC @snbalahli @Capital_SNB @QuickPay_SNB @majedhogai…,140,Twitter for iPhone,QuickPay_SNB,0,3,3,[],RT @aoehoficial: @nsovJSmh1zVgw55 @SNBCares @SAMA_GOV @redfksa @SaudiHousingCC @RedfKsaCC @snbalahli @Capital_SNB @QuickPay_SNB @majedhogai...,RT ,2,Qatar
