,id,created,tweetId,tweets,len,source,topic,tweet_like_count,tweet_retweet_count,hashtags,preprocessing,text,sentiment
1,1.67047E+18,2023-06-18 16:48:09+00:00,abwjbl80318838,@QuickPay_SNB لماذا مايخش ع التطبيق https://t.co/ZtaE1oFa6J,59,Twitter for Android,QuickPay_SNB,0,0,[],@QuickPay_SNB Why isn't he afraid of the app https://t.co/ZtaE1oFa6J, Why isnt he afraid of the app ,1
3,1.67013E+18,2023-06-17 18:10:04+00:00,mo_707070,"@QuickPay_SNB

السلام عليكم
حولت مبلغ الى اليمن والى الحين لم تصل الحوالة؟؟",75,Twitter for Android,QuickPay_SNB,0,0,[],"@QuickPay_SNB

Assalamu Alaykum
I transferred an amount to Yemen and so far the transfer has not arrived??", Assalamu Alaykum I transferred an amount to Yemen and so far the transfer has not arrived,3
5,1.66942E+18,2023-06-15 18:55:51+00:00,hsamalfqyh5,"@QuickPay_SNB السلام عليكم ورحمة الله وبركاته 
حذفت التطبيق وسويت كل شيء في الجوال ولا فيه فايده وتطبيقات البنوك تفتح https://t.co/7Dw5YhumsF",141,Twitter for iPhone,QuickPay_SNB,0,0,[],"@QuickPay_SNB May the peace, mercy and blessings of God be upon you 
I deleted the application and settled everything on the mobile and it is useless and the banking applications open https://t.co/7Dw5YhumsF", May the peace mercy and blessings of God be upon you I deleted the application and settled everything on the mobile and it is useless and the banking applications open ,1
8,1.66922E+18,2023-06-15 06:01:41+00:00,dL8gsWQ6u1DNQMh,@QuickPay_SNB @yunis2021 السلام عليكم حولت حوالة لليمن وما رضو يسلموه الحوالة بسبب خطأ بسيط في اسم المستلم قدمت طلب إلغاء الحوالة من تاريخ 30 مايو ولحد ا,179,Twitter for Android,QuickPay_SNB,0,0,[],@QuickPay_SNB @ yunis2021 Assalamu Alaykum I transferred a transfer to Yemen and they did not want to hand over the transfer because of a simple error in the name of the recipient I submitted a request to cancel the transfer from May 30 until now I have n, yunis2021 Assalamu Alaykum transferred transfer to Yemen and they did not want to hand over the transfer because of simple error in the name of the recipient submitted request to cancel the transfer from May until now have not returned the money to my account,2
13,1.66898E+18,2023-06-14 13:50:53+00:00,MuhammadAElMaks,@QuickPay_SNB والله عيب عليكم ليا يومين عاوز أعمل تحويل ومش عارف، وبسألكم سؤال إيه هو الحد الدنى للتحويل الدولي ولا فيه رد ولا فيه إجابة ولا أي احت�,157,Twitter Web App,QuickPay_SNB,0,0,[],"@QuickPay_SNB By God, it is a shame for you that for two days I want to make a transfer, and I do not know, and I ask you a question, which is the minimum amount of international transfer, and there is no response, no answer, and no respect for the custom", By God it is shame for you that for two days want to make transfer and do not know and ask you question which is the minimum amount of international transfer and there is no response no answer and no respect for the customer,2
14,1.66898E+18,2023-06-14 13:50:33+00:00,MuhammadAElMaks,@QuickPay_SNB والله عيب عليكم ليا يومين عاوز أعمل تحويل ومش عارف، وبسألكم سؤال إيه هو الحد الدنى للتحويل الدولي ولا فيه رد ولا فيه إجابة ولا أي احت�,157,Twitter Web App,QuickPay_SNB,0,0,[],"@QuickPay_SNB By God, it is a shame for you that for two days I want to make a transfer, and I do not know, and I ask you a question, which is the minimum amount of international transfer, and there is no response, no answer, and no respect for the custom", By God it is shame for you that for two days want to make transfer and do not know and ask you question which is the minimum amount of international transfer and there is no response no answer and no respect for the customer,2
15,1.66898E+18,2023-06-14 13:50:25+00:00,MuhammadAElMaks,@QuickPay_SNB والله عيب عليكم ليا يومين عاوز أعمل تحويل ومش عارف، وبسألكم سؤال إيه هو الحد الدنى للتحويل الدولي ولا فيه رد ولا فيه إجابة ولا أي احت�,157,Twitter Web App,QuickPay_SNB,0,0,[],"@QuickPay_SNB By God, it is a shame for you that for two days I want to make a transfer, and I do not know, and I ask you a question, which is the minimum amount of international transfer, and there is no response, no answer, and no respect for the custom", By God it is shame for you that for two days want to make transfer and do not know and ask you question which is the minimum amount of international transfer and there is no response no answer and no respect for the customer,2
16,1.66898E+18,2023-06-14 13:50:18+00:00,MuhammadAElMaks,@QuickPay_SNB والله عيب عليكم ليا يومين عاوز أعمل تحويل ومش عارف، وبسألكم سؤال إيه هو الحد الدنى للتحويل الدولي ولا فيه رد ولا فيه إجابة ولا أي احت�,157,Twitter Web App,QuickPay_SNB,0,0,[],"@QuickPay_SNB By God, it is a shame for you that for two days I want to make a transfer, and I do not know, and I ask you a question, which is the minimum amount of international transfer, and there is no response, no answer, and no respect for the custom", By God it is shame for you that for two days want to make transfer and do not know and ask you question which is the minimum amount of international transfer and there is no response no answer and no respect for the customer,2
18,1.66876E+18,2023-06-13 23:10:15+00:00,_donianada,@QuickPay_SNB  تطبيقكم ما قدرت احذفه ليش ما ينحذف,49,Twitter for iPhone,QuickPay_SNB,0,0,[],"@QuickPay_SNB  Your application could not be deleted, why would it not be deleted?", Your application could not be deleted why would it not be deleted,2
21,1.66834E+18,2023-06-12 19:41:43+00:00,jay74993229,"@QuickPay_SNB  السلام عليكم 
ابغا ادخل الاكاونت ويقول لي طفي ال VPN وانا ماعندي اساسا ؟ ايش المشكله ؟؟",102,Twitter for iPhone,QuickPay_SNB,0,0,[],"@QuickPay_SNB  Assalamu Alaykum 
Do I want to enter the passwords and tell me to turn off the VPN and I do not already have? What is the problem?", Assalamu Alaykum Laughingbiggrinorlaughwithglasseso want to enter the passwords and tell me to turn off the VPN and do not already have What is the problem,2
