,id,created,tweetId,tweets,len,source,topic,tweet_like_count,tweet_retweet_count,hashtags,preprocessing,text,sentiment
0,1670139597265797126,2023-06-17 18:41:24+00:00,QuickPay كويك باي,"@mo_707070 السلام عليكم ورحمة الله و بركاته  🌹
يسعدنا تواصلك معنا، 
 يرجى التواصل معنا على الرقم 920000330 خدمة عملاء كويك باي
وإن شاء الله أن نكون عند حسن ظنك دائما
يومك سعيد 💚

(ح . ا)",186,Verint Messaging,QuickPay_SNB,0,0,[],"@mo_707070 Peace be upon you and God's mercy and blessings  🌹
We are pleased to hear from you, 
 please contact us on 920000330 Quick Pay Customer Service
God wants us to always be good to you.
Have 💚a nice day.", Peace be upon you and Gods mercy and blessings rose We are pleased to hear from you please contact us on Quick Pay Customer Service God wants us to always be good to you Have greenhearta nice day,3
1,1670131710900535296,2023-06-17 18:10:04+00:00,mohamed👑,"@QuickPay_SNB

السلام عليكم
حولت مبلغ الى اليمن والى الحين لم تصل الحوالة؟؟",75,Twitter for Android,QuickPay_SNB,0,0,[],"@QuickPay_SNB

Assalamu Alaykum
I transferred an amount to Yemen and so far the transfer has not arrived??", Assalamu Alaykum I transferred an amount to Yemen and so far the transfer has not arrived,3
2,1669421758514974743,2023-06-15 19:08:58+00:00,QuickPay كويك باي,"@hsamalfqyh5 السلام عليكم ورحمة الله وبركاته   🌹
تبشر باللي يرضيك
راح نتواصل معك عبر الرسائل الخاصة لمعرفة المزيد من التفاصيل وليتسهل علينا مساعدتك.
يومك سعيد💚 
(س.د)",166,Verint Messaging,QuickPay_SNB,0,0,[],"@ hsamalfqyh5 May the peace, mercy and blessings of God be upon you.   🌹
We will contact you
via private messages to find out more details and to make it easier for us to help you.
Have a nice day
💚, SD.", hsamalfqyh5 May the peace mercy and blessings of God be upon you rose We will contact you via private messages to find out more details and to make it easier for us to help you Have nice day greenheart SLaughingbiggrinorlaughwithglasses,3
3,1669418458952417300,2023-06-15 18:55:51+00:00,.,"@QuickPay_SNB السلام عليكم ورحمة الله وبركاته 
حذفت التطبيق وسويت كل شيء في الجوال ولا فيه فايده وتطبيقات البنوك تفتح https://t.co/7Dw5YhumsF",141,Twitter for iPhone,QuickPay_SNB,0,0,[],"@QuickPay_SNB May the peace, mercy and blessings of God be upon you 
I deleted the application and settled everything on the mobile and it is useless and the banking applications open https://t.co/7Dw5YhumsF", May the peace mercy and blessings of God be upon you I deleted the application and settled everything on the mobile and it is useless and the banking applications open ,1
4,1669293390997987329,2023-06-15 10:38:53+00:00,QuickPay كويك باي,"@itts091 السلام عليكم ورحمة الله وبركاته  🌹
بداية نتأسف منك على عدم حصولك على الخدمة المطلوبة، وتأكد بأننا بخدمتك دائماً.
راح نتواصل معك عبر الرسائل الخاصة لمعرفة المزيد من التفاصيل وليتسهل علينا مساعدتك.
وما يصير خاطرك إلا طيب 
(م.د)",234,Verint Messaging,QuickPay_SNB,0,0,[],"@ itts091 May the peace, mercy and blessings of God be upon you.  🌹
First of all, we are sorry that you did not receive the required service, and make sure that we are always at your service.
We will contact you via private messages to find out more details and to make it easier for us to help you.
Your mind is only good. 
(MD)", itts091 May the peace mercy and blessings of God be upon you rose First of all we are sorry that you did not receive the required service and make sure that we are always at your service We will contact you via private messages to find out more details and to make it easier for us to help you Your mind is only good MLaughingbiggrinorlaughwithglasses,3
5,1669246702589562880,2023-06-15 07:33:21+00:00,QuickPay كويك باي,"@dL8gsWQ6u1DNQMh السلام عليكم ورحمة الله و بركاته  🌹
ابشر ولايهمك ،
يرجى تزويدنا برقم الطلب او الشكوى  ليتسنى لنا خدمتك
ننتظرك ⏳

يومك سعيد 💚
(ب.م) https://t.co/AAwmOHsdEx",171,Verint Messaging,QuickPay_SNB,0,0,[],"@ dL8gsWQ6u1DNQMh May the peace, mercy and blessings of God be upon you.  🌹
Please provide us with the
application or complaint number so that we can serve you
We're waiting for you.

Have a nice day. 💚
(PM) https://t.co/AAwmOHsdEx", dL8gsWQ6u1LaughingbiggrinorlaughwithglassesNQMh May the peace mercy and blessings of God be upon you rose Please provide us with the application or complaint number so that we can serve you Were waiting for you Have nice day greenheart PM ,3
6,1669223632994746368,2023-06-15 06:01:41+00:00,يسري محمد مقبول,@QuickPay_SNB @yunis2021 السلام عليكم حولت حوالة لليمن وما رضو يسلموه الحوالة بسبب خطأ بسيط في اسم المستلم قدمت طلب إلغاء الحوالة من تاريخ 30 مايو ولحد الآن ما رجعت  الفلوس لحسابي,179,Twitter for Android,QuickPay_SNB,0,0,[],@QuickPay_SNB @ yunis2021 Assalamu Alaykum I transferred a transfer to Yemen and they did not want to hand over the transfer because of a simple error in the name of the recipient I submitted a request to cancel the transfer from May 30 until now I have not returned the money to my account, yunis2021 Assalamu Alaykum transferred transfer to Yemen and they did not want to hand over the transfer because of simple error in the name of the recipient submitted request to cancel the transfer from May until now have not returned the money to my account,2
7,1668993867499159554,2023-06-14 14:48:41+00:00,QuickPay كويك باي,"@MuhammadAElMaks السلام عليكم ورحمة الله و بركاته 🌹
تواصلنا معك عبر الخاص 📩 في ما يخص استفسارك,
 ننتظرك ⏳
يومك سعيد 💚

(ح . ا)",126,Verint Messaging,QuickPay_SNB,0,0,[],"@ MuhammadAElMaksMay the peace, mercy and blessings of God be upon you 🌹
We have contacted you 📩 privately regarding your inquiry,
 We're waiting for you.
Have a nice day.

 💚( H-A)", MuhammadAElMaksMay the peace mercy and blessings of God be upon you rose We have contacted you envelopewitharrow privately regarding your inquiry Were waiting for you Have nice day greenheart HA,3
8,1668993819310800897,2023-06-14 14:48:29+00:00,QuickPay كويك باي,"@MuhammadAElMaks السلام عليكم ورحمة الله و بركاته 🌹
تواصلنا معك عبر الخاص 📩 في ما يخص استفسارك,
 ننتظرك ⏳
يومك سعيد 💚

(ح . ا)",126,Verint Messaging,QuickPay_SNB,0,0,[],"@ MuhammadAElMaksMay the peace, mercy and blessings of God be upon you 🌹
We have contacted you 📩 privately regarding your inquiry,
 We're waiting for you.
Have a nice day.

 💚( H-A)", MuhammadAElMaksMay the peace mercy and blessings of God be upon you rose We have contacted you envelopewitharrow privately regarding your inquiry Were waiting for you Have nice day greenheart HA,3
9,1668993778642825219,2023-06-14 14:48:19+00:00,QuickPay كويك باي,"@MuhammadAElMaks السلام عليكم ورحمة الله و بركاته 🌹
تواصلنا معك عبر الخاص 📩 في ما يخص استفسارك,
 ننتظرك ⏳
يومك سعيد 💚

(ح . ا)",126,Verint Messaging,QuickPay_SNB,0,0,[],"@ MuhammadAElMaksMay the peace, mercy and blessings of God be upon you 🌹
We have contacted you 📩 privately regarding your inquiry,
 We're waiting for you.
Have a nice day.

 💚( H-A)", MuhammadAElMaksMay the peace mercy and blessings of God be upon you rose We have contacted you envelopewitharrow privately regarding your inquiry Were waiting for you Have nice day greenheart HA,3
